"country","iso3","region","national_pop","prison_pop","rate"
"Afghanistan","AFG","South Central Asia",35600000,26519,74
"Albania","ALB","Southern Europe",2890000,5455,189
"Algeria","DZA","Northern Africa",37280000,60220,162
"American Samoa (USA)","WSM","Oceania",56000,214,382
"Andorra","AND","Southern Europe",76250,55,72
"Angola","AGO","Central Africa",21450000,22826,106
"Anguilla (UK)","AIA","Caribbean",15000,46,307
"Antigua & Barbuda","ATG","Caribbean",92000,343,373
"Argentina","ARG","South America",43200000,69060,160
"Armenia","ARM","Europe/Asia",2990000,3880,130
"Aruba (Neth)","ABW","Caribbean",103000,170,165
"Australia","AUS","Oceania",23750000,35949,151
"Austria","AUT","Western Europe",8580000,8188,95
"Azerbaijan","AZE","Europe/Asia",9540000,22526,236
"Bahamas","BHS","Caribbean",385000,1396,363
"Bahrain","BHR","Western Asia",1340000,4028,301
"Bangladesh","BGD","South Central Asia",160650000,69719,43
"Barbados","BRB","Caribbean",286900,924,322
"Belarus","BLR","Central and Eastern Europe",9470000,29000,306
"Belgium","BEL","Western Europe",11240000,11769,105
"Belize","BLZ","Central America",344000,1545,449
"Benin","BEN","Western Africa",9420000,7247,77
"Bermuda (UK)","BMU","North America",65000,230,354
"Bhutan","BTN","South Central Asia",772000,1119,145
"Bolivia","BOL","South America",11080000,13468,122
"Bosnia & Herzegovina - Federation","BIH","Southern Europe",2350000,1722,73
"Bosnia & Herzegovina - Republika Srpska","SRB","Southern Europe",1320000,940,71
"Botswana","BWA","Southern Africa",2030000,3826,188
"Brazil","BRA","South America",202030000,607731,301
"Brunei Darussalam","BRN","South Eastern Asia",418500,554,132
"Bulgaria","BGR","Central and Eastern Europe",7210000,9028,125
"Burkina Faso","BFA","Western Africa",18410000,6251,34
"Burundi","BDI","Eastern Africa",9280000,8646,93
"Cambodia","KHM","South Eastern Asia",15690000,16497,105
"Cameroon","CMR","Central Africa",22540000,25914,115
"Canada","CAN","North America",35680000,37864,106
"Cape Verde","CPV","Western Africa",501000,1434,286
"Cayman Is (UK)","CYM","Caribbean",54600,205,375
"Central African Rep","CAF","Central Africa",480000,764,159
"Chad","TCD","Central Africa",12260000,4831,39
"Chile","CHL","South America",17900000,44238,247
"China","CHN","Eastern Asia",1393780000,1657812,119
"Colombia","COL","South America",49680000,121389,244
"Comoros","COM","Eastern Africa",756000,233,31
"Congo (Rep of)","COG","Central Africa",4580000,1240,27
"Cook Is. (NZ)","COK","Oceania",23000,25,109
"Costa Rica","CRI","Central America",4950000,17440,352
"Croatia","HRV","Southern Europe",4230000,3763,89
"Cuba","CUB","Caribbean",11250000,57337,510
"Curacao (Neth)","CUW","Caribbean",154650,348,225
"Cyprus","CYP","Southern Europe",860600,811,94
"Czech Republic","CZE","Central and Eastern Europe",10560000,20628,195
"Dem. Rep. of Congo","COD","Central Africa",67820000,21722,32
"Denmark","DNK","Northern Europe",5670000,3481,61
"Djibouti","DJI","Eastern Africa",886000,600,68
"Dominica","DMA","Caribbean",73000,219,300
"Dominican Republic","DOM","Caribbean",10640000,24832,233
"Ecuador","ECU","South America",16030000,25902,162
"Egypt","EGY","Northern Africa",82060000,62000,76
"El Salvador","SLV","Central America",6440000,31686,492
"Equatorial Guinea","GNQ","Central Africa",778000,1000,129
"Estonia","EST","Northern Europe",1310000,2830,216
"Ethiopia","ETH","Eastern Africa",86470000,111050,128
"Faeroes (Denmark)","FRO","Northern Europe",48480,11,23
"Federated States of Micronesia","#N/A","Oceania",104000,132,127
"Fiji","FJI","Oceania",894000,1555,174
"Finland","FIN","Northern Europe",5470000,3105,57
"Fr. Guiana/ Guyane (Fr)","GUF","South America",262000,726,277
"Fr. Polynesia (Fr)","PYF","Oceania",283000,451,159
"France","FRA","Western Europe",64390000,60896,95
"Gabon","GAB","Central Africa",1670000,3500,210
"Gambia","GMB","Western Africa",1930000,1121,58
"Georgia","GEO","Europe/Asia",3730000,10236,274
"Germany","DEU","Western Europe",81290000,63628,78
"Ghana","GHA","Western Africa",26960000,14297,53
"Gibraltar (UK)","GIB","Southern Europe",32730,48,147
"Greece","GRC","Southern Europe",10810000,11798,109
"Greenland (Denmark)","GRL","North America",55700,116,208
"Grenada","GRD","Caribbean",106500,424,398
"Guadeloupe (Fr)","GLP","Caribbean",468000,913,195
"Guam (USA)","GUM","Oceania",170000,797,469
"Guatemala","GTM","Central America",16390000,19810,121
"Guernsey (UK)","GGY","Northern Europe",65450,83,127
"Guinea (Rep. of)","GUY","Western Africa",12120000,3110,26
"Guinea Bissau","GNB","Western Africa",1725000,92,5
"Guyana","GUY","South America",758500,1967,259
"Haiti","HTI","Caribbean",10540000,10266,97
"Honduras","HND","Central America",8320000,16331,196
"Hong Kong (China)","HKG","Eastern Asia",7290000,8284,114
"Hungary","HUN","Central and Eastern Europe",9830000,18424,187
"Iceland","ISL","Northern Europe",325700,147,45
"India","IND","South Central Asia",1275000000,418536,33
"Indonesia","IDN","South Eastern Asia",253180000,161692,64
"Iran","IRN","South Central Asia",78590000,225624,287
"Iraq","IRQ","Western Asia",34770000,42880,123
"Ireland","IRL","Northern Europe",4640000,3733,80
"Isle of Man (UK)","IMN","Northern Europe",87000,80,92
"Israel","ISR","Western Asia",7900000,20245,256
"Italy","ITA","Southern Europe",60810000,52434,86
"Ivory Coast","CIV","Western Africa",21010000,10850,52
"Jamaica","JAM","Caribbean",2790000,4050,145
"Japan","JPN","Eastern Asia",127020000,60486,48
"Jersey (UK)","JEY","Northern Europe",101500,154,152
"Jordan","JOR","Western Asia",6720000,10089,150
"Kazakhstan","KAZ","Central Asia",17680000,41333,234
"Kenya","KEN","Eastern Africa",45800000,54154,118
"Kiribati","KIR","Oceania",104000,141,136
"Korea (Rep of)","KOR","Eastern Asia",50090000,50800,101
"Kosovo",NA,"Southern Europe",1810000,1816,100
"Kuwait","KWT","Western Asia",3480000,3200,92
"Kyrgyzstan","KGZ","Central Asia",5850000,9729,166
"Laos","LAO","South Eastern Asia",5700000,4020,71
"Latvia","LVA","Northern Europe",1990000,4745,238
"Lebanon","LBN","Western Asia",5020000,6012,120
"Lesotho","LSO","Southern Africa",2260000,2073,92
"Liberia","LBR","Western Africa",4400000,1719,39
"Libya","LBY","Northern Africa",6240000,6187,99
"Liechtenstein","LIE","Western Europe",37370,8,21
"Lithuania","LTU","Northern Europe",2910000,7810,268
"Luxembourg","LUX","Western Europe",562400,631,112
"Macau (China)","MAC","Eastern Asia",646700,1258,195
"Macedonia (FYROM)","MKD","Southern Europe",2070000,3034,147
"Madagascar","MDG","Eastern Africa",22480000,18719,83
"Malawi","MWI","Eastern Africa",16730000,12156,73
"Malaysia","MYS","South Eastern Asia",30450000,51946,171
"Maldives","MDV","South Central Asia",352000,1200,341
"Mali","MLI","Western Africa",15770000,5209,33
"Malta","MLT","Southern Europe",429740,582,135
"Marshall Is.","MHL","Oceania",53000,35,66
"Martinique (Fr)","MTQ","Caribbean",396000,949,240
"Mauritania","MRT","Western Africa",4010000,1768,44
"Mauritius","MUS","Eastern Africa",1340000,2072,155
"Mayotte (France)","MYT","Eastern Africa",234000,173,74
"Mexico","MEX","Central America",120200000,255138,212
"Moldova","MDA","Central and Eastern Europe",3550000,7643,215
"Monaco","MCO","Western Europe",37800,28,74
"Mongolia","MNG","Eastern Asia",2920000,7773,266
"Montenegro","MNE","Southern Europe",621900,1083,174
"Morocco","MAR","Northern Africa",34280000,76000,222
"Mozambique","MOZ","Eastern Africa",25380000,15430,61
"Myanmar","MMR","South Eastern Asia",53260000,60000,113
"Namibia","NAM","Southern Africa",2480000,3560,144
"Nauru","NRU","Oceania",10000,14,140
"Nepal","NPL","South Central Asia",28270000,16813,59
"Netherlands","NLD","Western Europe",16880000,11603,69
"New Caledonia (Fr)","NCL","Oceania",263000,459,175
"New Zealand","NZL","Oceania",4600000,8906,194
"Nicaragua","NIC","Central America",6190000,10569,171
"Niger","NER","Western Africa",18870000,7424,39
"Nigeria","NGA","Western Africa",180810000,56620,31
"Northern Mariana Is. (USA)","MNP","Oceania",65500,175,267
"Norway","NOR","Northern Europe",5190000,3710,71
"Oman","OMN","Western Asia",3630000,1300,36
"Pakistan","PAK","South Central Asia",187520000,80169,43
"Palau","PLW","Oceania",21000,72,343
"Panama","PAN","Central America",3960000,15508,392
"Papua New Guinea","PNG","Oceania",7530000,4580,61
"Paraguay","PRY","South America",6930000,10949,158
"Peru","PER","South America",31190000,75379,242
"Philippines","PHL","South Eastern Asia",99165000,120076,121
"Poland","POL","Central and Eastern Europe",37990000,72609,191
"Portugal","PRT","Southern Europe",10330000,14238,138
"Puerto Rico (USA)","PRI","Caribbean",3520000,12327,350
"Qatar","QAT","Western Asia",2160000,1150,53
"Reunion (France)","REU","Eastern Africa",895000,1022,114
"Romania","ROU","Central and Eastern Europe",19790000,28383,143
"Russian Federation","RUS","Europe/Asia",144400000,642470,445
"Rwanda","RWA","Eastern Africa",12500000,54279,434
"Samoa","WSM","Oceania",192500,481,250
"San Marino","SMR","Southern Europe",33700,2,6
"Sao Tome e Principe","STP","Central Africa",199000,201,101
"Saudi Arabia","SAU","Western Asia",29170000,47000,161
"Senegal","SEN","Western Africa",13860000,8630,62
"Serbia","SRB","Southern Europe",7100000,10500,148
"Seychelles","SYC","Eastern Africa",92000,735,799
"Sierra Leone","SLE","Western Africa",6360000,3488,55
"Singapore","SGP","South Eastern Asia",5560000,12596,227
"Sint Maarten (Neth)","SXM","Caribbean",46400,161,347
"Slovakia","SVK","Central and Eastern Europe",5430000,9991,184
"Slovenia","SVN","Southern Europe",2060000,1511,73
"Solomon Is.","SLB","Oceania",575000,323,56
"South Africa","ZAF","Southern Africa",54570000,159241,292
"South Sudan","SSD","Central Africa",11520000,7500,65
"Spain","ESP","Southern Europe",46380000,63025,136
"Sri Lanka","LKA","South Central Asia",21450000,19774,92
"St Kitts & Nevis","KNA","Caribbean",55000,334,607
"St Lucia","LCA","Caribbean",185000,646,349
"St Vincent & the Grenadines","VCT","Caribbean",109000,412,378
"Sudan","SDN","Northern Africa",37960000,19101,50
"Suriname","SUR","South America",547000,1000,183
"Swaziland","SWZ","Southern Africa",1250000,3616,289
"Sweden","SWE","Northern Europe",9750000,5400,55
"Switzerland","CHE","Western Europe",8200000,6923,84
"Syria","SYR","Western Asia",17680000,10599,60
"Taiwan","TWN","Eastern Asia",23470000,63734,272
"Tajikistan","TJK","Central Asia",7700000,9317,121
"Tanzania","TZA","Eastern Africa",49720000,34196,69
"Thailand","THA","South Eastern Asia",67450000,311036,461
"Timor-Leste","TLS","South Eastern Asia",1170000,581,50
"Togo","TGO","Western Africa",6990000,4493,64
"Tonga","TON","Oceania",106000,176,166
"Trinidad & Tobago","TTO","Caribbean",1350000,3481,258
"Tunisia","TUN","Northern Africa",11150000,23686,212
"Turkey","TUR","Europe/Asia",78470000,172562,220
"Turkmenistan","TKM","Central Asia",5240000,30568,583
"Tuvalu","TUV","Oceania",10000,11,110
"U.S.A.","USA","North America",317760000,2217000,698
"Uganda","UGA","Eastern Africa",39190000,45092,115
"Ukraine","UKR","Central and Eastern Europe",36500000,71046,195
"United Arab  Emirates","ARE","Western Asia",4880000,11193,229
"United Kingdrom","GBR","Northern Europe",39190000,45092,115
"Uruguay","URY","South America",3430000,9996,291
"Uzbekistan","UZB","Central Asia",29330000,43900,150
"Vanuatu","VUT","Oceania",265000,230,87
"Venezuela","VEN","South America",30850000,55007,178
"Vietnam","VNM","South Eastern Asia",92550000,142636,154
"Virgin Is. (UK)","VGB","Caribbean",28000,119,425
"Virgin Is. (USA)","VIR","Caribbean",106700,577,541
"Yemen","YEM","Western Asia",26230000,14000,53
"Zambia","ZMB","Eastern Africa",14820000,18560,125
"Zimbabwe","ZWE","Eastern Africa",13010000,18857,145
